格调绮园 || 11.2平米 || 1830元/月
地华里 || 75.18平米 || 2700元/月
来安里 || 57平米 || 1700元/月
中豪世纪花园 || 50平米 || 2600元/月
贻成泰和新都 || 58.58平米 || 1300元/月
紫云里 || 21.45平米 || 1900元/月
天津大都会SMART || 47平米 || 3500元/月
三潭东里 || 39.89平米 || 1600元/月
敦煌楼 || 36.02平米 || 1400元/月
天新北里 || 40.97平米 || 1800元/月
保盈里 || 75.72平米 || 2500元/月
哈尔滨道 || 45.71平米 || 3000元/月
金融街融汇 || 88.98平米 || 2900元/月
汇贤里 || 115平米 || 2300元/月
新闻西里 || 62.15平米 || 2700元/月
容彩里 || 46平米 || 1800元/月
气象南里 || 40.62平米 || 1600元/月
涪江南里 || 33平米 || 1200元/月
宾水北里 || 60平米 || 2300元/月
西关北里 || 36.76平米 || 1200元/月
世纪梧桐公寓 || 138平米 || 7400元/月
艺术公寓 || 53平米 || 2500元/月
第六大道第博雅园 || 89.81平米 || 3000元/月
乐园里 || 31.72平米 || 1300元/月
天津大都会SMART || 43平米 || 3000元/月
尚东馨园 || 94平米 || 3400元/月
航宇公寓 || 105平米 || 4200元/月
金茂广场 || 58.89平米 || 2900元/月
丁字沽七段 || 43平米 || 1400元/月
康达尚郡 || 40.72平米 || 2200元/月
翰雅园 || 140.62平米 || 4200元/月
艺苑里 || 43.11平米 || 1400元/月
雅致里 || 59.45平米 || 2100元/月
滨河新苑 || 76.44平米 || 2600元/月
阳光星期八昕旺北苑 || 97.66平米 || 3300元/月
融科瀚棠 || 92平米 || 4500元/月
盈江东里 || 38平米 || 1900元/月
万科水晶城聆梦园 || 60平米 || 2500元/月
莹华里 || 55平米 || 2500元/月
联发第五街 || 82平米 || 3200元/月
伴山人家 || 88平米 || 2200元/月
三合里 || 61平米 || 2400元/月
利合里 || 45平米 || 2200元/月
雅境花语城 || 53.8平米 || 2300元/月
瑞海大厦 || 43.46平米 || 2400元/月
佳平里 || 53.6平米 || 1800元/月
河南路 || 13.89平米 || 1000元/月
玉容花园 || 55平米 || 1850元/月
远洋心里 || 90平米 || 2500元/月
远洋心里 || 80平米 || 2500元/月
远洋心里 || 80平米 || 2500元/月
咸阳路58号内 || 60平米 || 2300元/月
菁华津城 || 96.12平米 || 2100元/月
中海金湖湾 || 88平米 || 2400元/月
中海御湖翰苑 || 120平米 || 4800元/月
司法警校宿舍 || 52平米 || 1800元/月
福庭里 || 51平米 || 1450元/月
龙禧园 || 72.37平米 || 2700元/月
奉化道 || 62.71平米 || 1900元/月
卡梅尔天淳园 || 159平米 || 5500元/月
富山花园 || 154.82平米 || 4500元/月
民安里 || 35平米 || 1500元/月
弘景苑 || 125平米 || 4500元/月
红波里 || 41平米 || 1800元/月
远洋心里 || 80平米 || 2500元/月
馨苑小区 || 101平米 || 2500元/月
冠华公寓 || 80平米 || 3500元/月
来安里 || 55.21平米 || 1800元/月
富贵嘉园 || 77.88平米 || 2400元/月
都旺新城兰芳园 || 93平米 || 2300元/月
荣翔园 || 73平米 || 1700元/月
新博园 || 87.58平米 || 3500元/月
华馨公寓 || 90.18平米 || 3000元/月
华宁南里 || 30.35平米 || 1800元/月
宾水里 || 60平米 || 2600元/月
城市之星大厦 || 122.74平米 || 3600元/月
广厦富城 || 88.75平米 || 2000元/月
三潭东里 || 36.65平米 || 1600元/月
怀安西里 || 35.93平米 || 1600元/月
芳水河畔家园 || 75平米 || 2200元/月
中海城市广场 || 99平米 || 5500元/月
怀仁里 || 44.45平米 || 2400元/月
秋实园 || 80.57平米 || 2900元/月
喜年广场 || 45.23平米 || 2500元/月
保利上河雅苑北区 || 99平米 || 2500元/月
万科新城蝶兰苑 || 179.91平米 || 5500元/月
滨海龙都 || 97平米 || 2500元/月
博兰苑 || 87.1平米 || 3500元/月
滨悦花园 || 89平米 || 1800元/月
兴河里 || 43平米 || 2000元/月
城市之光别馆公寓 || 44平米 || 2200元/月
文静里 || 122.06平米 || 7500元/月
万科水晶城聆梦园 || 56.34平米 || 2400元/月
和苑全和园 || 68.65平米 || 2300元/月
聚安西园 || 138.47平米 || 4600元/月
向阳小区 || 58.07平米 || 1700元/月
纯善里 || 38平米 || 1600元/月
柴楼竹园 || 112平米 || 1400元/月
嫩江里 || 46平米 || 1400元/月
卫国道 || 49.96平米 || 4000元/月
时代奥城 || 188平米 || 13000元/月
意境兰庭 || 86平米 || 2100元/月
天四里 || 40平米 || 1950元/月
雅境新枫尚 || 61.5平米 || 2700元/月
天江格调花园 || 95.16平米 || 4500元/月
仁爱花园 || 45平米 || 1800元/月
聚龙园 || 60.39平米 || 1500元/月
津尚花园 || 91平米 || 2600元/月
福至里 || 42平米 || 1400元/月
万科新城紫荆苑 || 91.61平米 || 2600元/月
伴景湾家园 || 227平米 || 8500元/月
秀芳里 || 60.94平米 || 1900元/月
飞云里 || 109平米 || 3300元/月
海河大观 || 74平米 || 3700元/月
金融街融汇 || 72平米 || 2800元/月
宁发阳光公寓 || 167平米 || 6200元/月
近园里 || 51平米 || 2250元/月
中海城市广场 || 73平米 || 4200元/月
海汇名邸 || 65.75平米 || 4250元/月
直沽园 || 130平米 || 4500元/月
嘉誉新城 || 91平米 || 4000元/月
华云园 || 101.7平米 || 2500元/月
时代奥城 || 191.2平米 || 12000元/月
五一阳光皓日园 || 44平米 || 2500元/月
诚基经贸中心 || 137平米 || 3800元/月
信昌大楼 || 64.29平米 || 2500元/月
天兴里 || 38平米 || 3000元/月
联盛大厦 || 53平米 || 2000元/月
恩德西里 || 56.26平米 || 2200元/月
怀仁里 || 69.62平米 || 3800元/月
万通新城国际 || 165平米 || 5800元/月
喜年广场 || 45.57平米 || 1800元/月
宜川北里 || 60平米 || 2500元/月
凯德国贸 || 84平米 || 11000元/月
浦江大厦 || 132平米 || 6500元/月
泰安道 || 378平米 || 37500元/月
富邦花园 || 68.9平米 || 4000元/月
新城小区 || 39.73平米 || 1650元/月
海河大观 || 52平米 || 4200元/月
顶佳金领地 || 670平米 || 33000元/月
福姜里 || 35.25平米 || 1100元/月
台湾路 || 32平米 || 1950元/月
朗月轩 || 90平米 || 2800元/月
卫华里 || 37.45平米 || 2500元/月
津塘公寓 || 60.53平米 || 2400元/月
卫安中里 || 41平米 || 2100元/月
月秋里 || 27.87平米 || 1500元/月
爱家星河花园 || 59.8平米 || 2600元/月
日华里 || 81.25平米 || 3500元/月
晨阳花园 || 100.72平米 || 2800元/月
宝翠花都听景园 || 99.7平米 || 3500元/月
元吉里 || 34.18平米 || 1700元/月
积善里 || 38平米 || 1600元/月
尚都家园 || 86平米 || 3500元/月
荣溪园 || 81.74平米 || 1500元/月
康桥里 || 44.13平米 || 1400元/月
奥林匹克花园玉兰苑 || 99.57平米 || 3400元/月
富力津门湖江湾广场 || 89.23平米 || 3800元/月
白云里 || 36平米 || 1900元/月
华江里 || 34平米 || 1200元/月
第六大道第博雅园 || 216平米 || 6200元/月
溪波里 || 64平米 || 2400元/月
瑞湾国际 || 76.63平米 || 2800元/月
松江城武台馨苑 || 84.21平米 || 2900元/月
华润紫阳里 || 67.04平米 || 3900元/月
佳园东里 || 57.74平米 || 1500元/月
新关公寓 || 89平米 || 3000元/月
新汇华庭 || 90.31平米 || 5500元/月
风顺公寓 || 142.45平米 || 3900元/月
望海楼北里 || 40.41平米 || 1800元/月
群富里 || 65.04平米 || 2800元/月
美坪园 || 106平米 || 5500元/月
正荣润璟湾 || 211平米 || 5500元/月
通鑫园 || 104.52平米 || 3000元/月
融汇北苑 || 90.4平米 || 4800元/月
天桂里 || 45.23平米 || 1600元/月
跃进楼 || 10.67平米 || 800元/月
天环里 || 27.28平米 || 1700元/月
滨翔花园 || 107.72平米 || 1500元/月
宝翠花都瞰景园 || 87.25平米 || 2300元/月
红磡领世郡尚景园 || 48.88平米 || 1200元/月
年德里 || 21.9平米 || 1550元/月
双峰道 || 36.2平米 || 4000元/月
红光家园 || 123.7平米 || 2200元/月
云广新里 || 44平米 || 1800元/月
博兰苑 || 141.94平米 || 4200元/月
天华里 || 78平米 || 2800元/月
朝阳里（北辰区） || 30平米 || 800元/月
树德北里 || 37平米 || 2000元/月
和瑞园 || 64.45平米 || 2200元/月
半岛豪庭天潇园 || 151平米 || 6800元/月
冶金里 || 30.32平米 || 1400元/月
海益国际 || 91.38平米 || 3300元/月
富力桃园天域园 || 140平米 || 3500元/月
保康里 || 55平米 || 2300元/月
津滨滨海国际1期 || 130平米 || 4300元/月
中海金湖湾 || 95平米 || 3200元/月
瑞通里 || 56平米 || 1700元/月
大地十二城枫桥园 || 90.18平米 || 2600元/月
振业铂雅轩 || 89平米 || 3200元/月
华康西里 || 45平米 || 1550元/月
沱江里 || 38平米 || 1800元/月
世昌里 || 59.27平米 || 3600元/月
卫国道74号 || 75.62平米 || 2400元/月
博兰苑 || 124平米 || 4000元/月
爱国北里 || 27平米 || 1550元/月
天泉西里 || 38.77平米 || 1500元/月
万科民和巷 || 93平米 || 3200元/月
美宁公寓 || 45.33平米 || 2200元/月
福建里 || 40平米 || 1400元/月
奥城公寓 || 37.91平米 || 2200元/月
卫华里 || 57.15平米 || 3000元/月
景园里 || 48.86平米 || 1800元/月
福园里 || 60平米 || 1700元/月
和睦西里 || 31.52平米 || 1500元/月
城市之光月光园 || 111.4平米 || 3500元/月
胜天里 || 31.91平米 || 1600元/月
金侨新梅江壹号 || 85平米 || 3600元/月
云成里 || 56.95平米 || 2700元/月
万科城盛锦苑 || 104.36平米 || 2500元/月
宁福里 || 130.19平米 || 5300元/月
迎水南里 || 45平米 || 1550元/月
昆裕里 || 44.31平米 || 2000元/月
程林里 || 60平米 || 1500元/月
滨尚花园 || 87平米 || 2100元/月
广灵里 || 72.47平米 || 2300元/月
卡梅尔天淳园 || 170平米 || 6000元/月
花园路7号 || 15平米 || 1000元/月
明珠园 || 78.9平米 || 3500元/月
天江格调兰庭 || 129.46平米 || 6200元/月
尚东雅园 || 95平米 || 3500元/月
福建大厦 || 169.98平米 || 10000元/月
福建大厦 || 136.09平米 || 8500元/月
福建大厦 || 156.05平米 || 10000元/月
福建大厦 || 160.76平米 || 10000元/月
福建大厦 || 169.3平米 || 11000元/月
福建大厦 || 217.04平米 || 13100元/月
福建大厦 || 158.39平米 || 10000元/月
保利金融街诺丁山 || 82.6平米 || 1000元/月
罗兰花园 || 265平米 || 12500元/月
爱丽家园东区 || 151平米 || 5000元/月
宾泰公寓 || 128.2平米 || 3900元/月
永进楼 || 30.61平米 || 1300元/月
海景雅苑 || 56.82平米 || 3500元/月
悦蓝东轩 || 167平米 || 6500元/月
银都大厦 || 180平米 || 6000元/月
新庆里 || 60平米 || 2500元/月
地华里 || 96.5平米 || 3600元/月
金昆里 || 50平米 || 1700元/月
桂江里(河西区) || 68平米 || 1600元/月
云广新里 || 44.78平米 || 1750元/月
三和温泉花园天时园 || 82.25平米 || 2300元/月
京燕大厦 || 110.22平米 || 4500元/月
融科瀚棠 || 92平米 || 5800元/月
环盛里 || 88平米 || 2400元/月
康宁大厦 || 132平米 || 5500元/月
顶佳金领地 || 127平米 || 5000元/月
六合里(大港区) || 58.19平米 || 850元/月
福至里 || 32平米 || 1700元/月
天涛园 || 137平米 || 5500元/月
联盛大厦 || 60平米 || 1800元/月
华润橡树湾 || 94.02平米 || 2300元/月
同安北里 || 37.61平米 || 2200元/月
大众家园 || 85.69平米 || 1800元/月
民建北里 || 49.04平米 || 2000元/月
卫华里 || 51平米 || 3000元/月
巨福公寓 || 54平米 || 2300元/月
前进新里 || 27平米 || 1600元/月
萃华里 || 36.9平米 || 1500元/月
雅境花语城 || 76.1平米 || 2600元/月
万通新城国际 || 63.75平米 || 2800元/月
时代奥城 || 210平米 || 15000元/月
先锋公寓 || 117平米 || 3500元/月
贻信园 || 103.75平米 || 2600元/月
诚基经贸中心 || 60.22平米 || 2100元/月
华中路 || 43.89平米 || 2700元/月
华光里 || 41.71平米 || 1500元/月
湯臣津湾一品 || 115.15平米 || 8000元/月
星缘东轩 || 115.5平米 || 3300元/月
中裕园 || 63.7平米 || 2800元/月
和平时光 || 66.55平米 || 3500元/月
美华大厦 || 168平米 || 6000元/月
常熟北里 || 68平米 || 2300元/月
阳光壹佰西园 || 95平米 || 3200元/月
淮祥园 || 79.59平米 || 2300元/月
润东大厦 || 105平米 || 7300元/月
润东大厦 || 205平米 || 14300元/月
天资里 || 30平米 || 1800元/月
泰达时代 || 144平米 || 4500元/月
新业丽湾酒店 || 145平米 || 3700元/月
尚东雅园 || 64平米 || 3000元/月
新业丽湾酒店 || 98平米 || 2400元/月
万通新城国际 || 107平米 || 3800元/月
罗兰花园 || 120平米 || 5300元/月
嘉禧园 || 109.83平米 || 2500元/月
凤园里 || 58平米 || 2000元/月
金合园 || 109.87平米 || 3200元/月
天津东方环球影城 || 50.55平米 || 2600元/月
万科金域蓝湾 || 140平米 || 5500元/月
平安大厦 || 354.43平米 || 37215元/月
国风园 || 115平米 || 3700元/月
南益名士华庭 || 67平米 || 2000元/月
锋泛国际 || 121.26平米 || 4000元/月
京津星公馆 || 112.38平米 || 3500元/月
庆丰园 || 88平米 || 2400元/月
守善里 || 25.58平米 || 2000元/月
雅安西里 || 22.41平米 || 1180元/月
爱丽家园东区 || 158平米 || 6500元/月
首创珐瑯墅昆芳苑 || 91.58平米 || 3000元/月
甘肃路(和平区) || 24.15平米 || 1000元/月
凤麟公寓 || 82.45平米 || 2400元/月
环球金融中心津塔公寓 || 126.53平米 || 8500元/月
春华里 || 40平米 || 2500元/月
金融街融御-融景名邸 || 239.95平米 || 18000元/月
泰和城 || 90.82平米 || 2200元/月
第六大道陆典庭园 || 58.37平米 || 2400元/月
碧溪苑 || 194平米 || 3000元/月
花园伍座轩 || 150平米 || 8500元/月
湯臣津湾一品 || 339.68平米 || 20000元/月
凌奥花园 || 90平米 || 3000元/月
元兴新里 || 55平米 || 2000元/月
靖江西里 || 39.34平米 || 2000元/月
三义大厦 || 55平米 || 1900元/月
旭辉澜郡 || 90平米 || 1660元/月
富力津门湖鸣泉花园 || 147平米 || 6000元/月
融科瀚棠 || 92.4平米 || 4900元/月
吉利花园 || 75平米 || 4500元/月
水木天成逸树园 || 103.84平米 || 3200元/月
礼貌东里 || 40平米 || 1200元/月
御景园邸双喜阁 || 186平米 || 9000元/月
泰达国际会馆 || 186平米 || 8000元/月
津滨藏锦 || 143平米 || 4300元/月
园丁公寓 || 57平米 || 1600元/月
红和里 || 28平米 || 1600元/月
富力津门湖景尚嘉郡 || 88平米 || 3800元/月
宁波道(河西区) || 45平米 || 2400元/月
浮德里 || 29.59平米 || 2500元/月
贻和花园 || 118平米 || 2800元/月
万科双子座 || 86平米 || 4000元/月
中豪世纪花园 || 49.62平米 || 3100元/月
阳光壹佰西园 || 57.9平米 || 2600元/月
城南家园 || 152平米 || 6600元/月
福至里 || 40平米 || 2200元/月
恬园别墅 || 138平米 || 3500元/月
重华里 || 35.77平米 || 2000元/月
川南里 || 46.3平米 || 1400元/月
宜昌南里(和平区) || 56.46平米 || 4900元/月
永进楼 || 30.18平米 || 1300元/月
仁爱濠景庄园时景园 || 188.96平米 || 18000元/月
东海云天 || 87.14平米 || 2300元/月
融科瀚棠 || 90平米 || 4500元/月
金融街融御-融景华庭 || 115.01平米 || 6000元/月
碧水家园B区 || 50平米 || 1700元/月
新津国际 || 63.01平米 || 2200元/月
富邦花园 || 51.68平米 || 3500元/月
景致里 || 58.05平米 || 2000元/月
迎安里 || 77.6平米 || 2200元/月
旺海公府 || 182平米 || 9000元/月
金山里 || 52.7平米 || 2500元/月
东惠家园 || 61平米 || 1600元/月
滨海智谛山 || 88.32平米 || 3000元/月
尚佳新苑 || 117.68平米 || 5000元/月
福升园 || 64.59平米 || 1400元/月
昆云里 || 37.45平米 || 1800元/月
瞰海轩 || 138平米 || 1500元/月
侯台花园 || 38.74平米 || 1500元/月
诚基经贸中心 || 60.7平米 || 2500元/月
元兴新里 || 38平米 || 1500元/月
阅湖苑 || 90.83平米 || 1700元/月
心贻湾 || 96平米 || 1500元/月
河东融科瀚棠 || 85平米 || 2000元/月
云台花园 || 195平米 || 7500元/月
第六大道俊东公寓 || 110平米 || 7800元/月
景兴西里 || 59平米 || 2100元/月
富力津门湖澄澜花园 || 155.82平米 || 6000元/月
静德花园 || 124平米 || 5000元/月
和进里 || 53平米 || 2100元/月
胡北小镇 || 95.63平米 || 1500元/月
恩德西里 || 57.36平米 || 2000元/月
环球金融中心津塔公寓 || 89.91平米 || 5500元/月
天房美域豪庭 || 90.33平米 || 3000元/月
近园里 || 58平米 || 2200元/月
水畔花园 || 66.53平米 || 2700元/月
富力津门湖江湾广场 || 65.17平米 || 3000元/月
万通新城国际 || 118平米 || 3400元/月
宇萃里 || 41.79平米 || 1600元/月
景福里 || 28.04平米 || 1700元/月
康桥里 || 44.01平米 || 1400元/月
瑞丽园 || 94平米 || 3000元/月
科园公寓 || 90.88平米 || 2500元/月
中宇里 || 79.38平米 || 2700元/月
万科民和巷 || 92平米 || 2700元/月
阳光金地 || 45.97平米 || 2250元/月
天津华侨城 || 122.3平米 || 2100元/月
天达里 || 110平米 || 4500元/月
家福园 || 85平米 || 2200元/月
邮电公寓 || 68平米 || 3100元/月
盛华园 || 89.42平米 || 3400元/月
庆荣里 || 37平米 || 2200元/月
清枫园 || 90平米 || 2500元/月
航天北里 || 48.01平米 || 2200元/月
晋宁北里 || 18.52平米 || 1200元/月
波莹公寓 || 78平米 || 2700元/月
昆云里 || 38平米 || 1800元/月
鹤园南里 || 40.03平米 || 1800元/月
盛华园 || 83.2平米 || 2800元/月
清枫园 || 91平米 || 2500元/月
西湖里 || 18.26平米 || 1100元/月
